imdb_id,titulo,anio,genero,rating_imdb,plataformas,poster_url
tt1399103,Transformers: Dark of the Moon,2011,"Action, Adventure, Comedy",6.2,"Netflix, Paramount Plus, Claro video",https://image.tmdb.org/t/p/w500/28YlCLrFhONteYSs9hKjD1Km0Cj.jpg
tt2527336,Star Wars: Episode VIII - The Last Jedi,2017,"Action, Adventure, Fantasy",6.8,Disney Plus,https://image.tmdb.org/t/p/w500/ySaaKHOLAQU5HoZqWmzDIj1VvZ1.jpg
tt0492956,The Game Plan,2007,"Comedy, Family, Sport",6.4,Disney Plus,https://image.tmdb.org/t/p/w500/fcLFvIqCUrhY96mkSmr3okxaMEw.jpg
tt1077368,Dark Shadows,2012,"Comedy, Fantasy, Horror",6.2,HBO Max,https://image.tmdb.org/t/p/w500/fd9Ck4cxVlmtXsbeGtQW7WFuUFI.jpg
tt1648190,The Dark Tower,2017,"Action, Adventure, Drama",5.6,Netflix,https://image.tmdb.org/t/p/w500/i9GUSgddIqrroubiLsvvMRYyRy0.jpg
tt3450958,War for the Planet of the Apes,2017,"Action, Adventure, Drama",7.4,Disney Plus,https://image.tmdb.org/t/p/w500/mMA1qhBFgZX8O36qPPTC016kQl1.jpg
tt6565702,X-Men: Dark Phoenix,2019,"Action, Adventure, Sci-Fi",5.7,Disney Plus,https://image.tmdb.org/t/p/w500/cCTJPelKGLhALq3r51A9uMonxKj.jpg
tt0446029,Scott Pilgrim vs. the World,2010,"Action, Comedy, Fantasy",7.5,HBO Max,https://image.tmdb.org/t/p/w500/g5IoYeudx9XBEfwNL0fHvSckLBz.jpg
tt0311113,Master and Commander: The Far Side of the World,2003,"Action, Adventure, Drama",7.5,No disponible en streaming,https://image.tmdb.org/t/p/w500/s1cVTQEZYn4nSjZLnFbzLP0j8y2.jpg
tt0796366,Star Trek,2009,"Action, Adventure, Sci-Fi",7.9,"Paramount Plus, Claro video",https://image.tmdb.org/t/p/w500/hN2ZtF3Uw6mhIHZiqL0SKzELtKn.jpg
tt0121766,Star Wars: Episode III - Revenge of the Sith,2005,"Action, Adventure, Fantasy",7.6,Disney Plus,https://image.tmdb.org/t/p/w500/xfSAoBEm9MNBjmlNcDYLvLSMlnq.jpg
tt4154756,Avengers: Infinity War,2018,"Action, Adventure, Sci-Fi",8.4,Disney Plus,https://image.tmdb.org/t/p/w500/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg
tt0086190,Star Wars: Episode VI - Return of the Jedi,1983,"Action, Adventure, Fantasy",8.3,Disney Plus,https://image.tmdb.org/t/p/w500/jQYlydvHm3kUix1f8prMucrplhm.jpg
tt3915174,Puss in Boots: The Last Wish,2022,"Animation, Action, Adventure",7.8,No disponible en streaming,https://image.tmdb.org/t/p/w500/kuf6dutpsT0vSVehic3EZIqkOBt.jpg
tt0816711,World War Z,2013,"Action, Adventure, Horror",7.0,"Paramount Plus, Claro video",https://image.tmdb.org/t/p/w500/aCnVdvExw6UWSeQfr0tUH3jr4qG.jpg
tt2709768,The Secret Life of Pets,2016,"Animation, Adventure, Comedy",6.5,"Netflix, Amazon Prime Video, HBO Max, Claro video",https://image.tmdb.org/t/p/w500/bc3rCMgP4bbxNqGQCRlpJyU8otF.jpg
