imdb_id,titulo,anio,genero,rating_imdb,plataformas,poster_url,budget,revenue
tt9777666,The Tomorrow War,2021,"Action, Adventure, Drama",6.6,Amazon Prime Video,https://image.tmdb.org/t/p/w500/34nDCQZwaEvsy4CFO5hkGRFDCVU.jpg,,
tt0272338,Punch-Drunk Love,2002,"Comedy, Drama, Romance",7.3,HBO Max,https://image.tmdb.org/t/p/w500/htYp4yqFu4rzBEIa6j9jP8miDm3.jpg,25000000.0,17000000.0
tt2709768,The Secret Life of Pets,2016,"Animation, Adventure, Comedy",6.5,"Netflix, Amazon Prime Video, HBO Max, Claro video",https://image.tmdb.org/t/p/w500/bc3rCMgP4bbxNqGQCRlpJyU8otF.jpg,75000000.0,875457937.0
tt0097576,Indiana Jones and the Last Crusade,1989,"Action, Adventure",8.2,"Paramount Plus, Claro video",https://image.tmdb.org/t/p/w500/sizg1AU8f8JDZX4QIgE4pjUMBvx.jpg,48000000.0,474171806.0
tt0376994,X-Men: The Last Stand,2006,"Action, Adventure, Sci-Fi",6.6,Disney Plus,https://image.tmdb.org/t/p/w500/a2xicU8DpKtRizOHjQLC1JyCSRS.jpg,210000000.0,459359555.0
tt5109280,Raya and the Last Dragon,2021,"Animation, Action, Adventure",7.3,Disney Plus,https://image.tmdb.org/t/p/w500/5nVhgCzxKbK47OLIKxCR1syulOn.jpg,,
tt0362270,The Life Aquatic with Steve Zissou,2004,"Action, Adventure, Comedy",7.2,Disney Plus,https://image.tmdb.org/t/p/w500/qZoFLNBC78jzboWeDH6Ha0qavF2.jpg,50000000.0,34808403.0
tt4244994,The Last Duel,2021,"Drama, History, Thriller",7.3,Disney Plus,https://image.tmdb.org/t/p/w500/zjrJE0fpzPvX8saJXj8VNfcjBoU.jpg,,
tt3748172,Gerald's Game,2017,"Drama, Horror, Thriller",6.5,Netflix,https://image.tmdb.org/t/p/w500/32dippiypDdaKv7XFEfUlQ7kPup.jpg,,
tt4209788,Molly's Game,2017,"Biography, Crime, Drama",7.4,Amazon Prime Video,https://image.tmdb.org/t/p/w500/zrGQwKNmAz5awZI2V1k5M4eTTTN.jpg,,
tt2488496,Star Wars: Episode VII - The Force Awakens,2015,"Action, Adventure, Sci-Fi",7.7,Disney Plus,https://image.tmdb.org/t/p/w500/wqnLdwVXoBjKibFRR5U3y0aDUhs.jpg,,
tt0118799,Life Is Beautiful,1997,"Comedy, Drama, Romance",8.6,No disponible en streaming,https://image.tmdb.org/t/p/w500/mfnkSeeVOBVheuyn2lo4tfmOPQb.jpg,20000000.0,229400000.0
tt0431308,P.S. I Love You,2007,"Comedy, Drama, Romance",7.0,Netflix,https://image.tmdb.org/t/p/w500/x6M9nlTpgpI4AOw0tMkOAVbhL5z.jpg,30000000.0,156835339.0
tt2704998,Game Night,2018,"Action, Adventure, Comedy",6.9,HBO Max,https://image.tmdb.org/t/p/w500/85R8LMyn9f2Lev2YPBF8Nughrkv.jpg,,
tt0314331,Love Actually,2003,"Comedy, Drama, Romance",7.5,No disponible en streaming,https://image.tmdb.org/t/p/w500/7QPeVsr9rcFU9Gl90yg0gTOTpVv.jpg,40000000.0,244931766.0
tt9639470,Last Night in Soho,2021,"Drama, Horror, Mystery",7.0,No disponible en streaming,https://image.tmdb.org/t/p/w500/n1ZRmjlk1BJTY7aASqACfPAaLn2.jpg,,
tt0338459,Spy Kids 3: Game Over,2003,"Action, Adventure, Comedy",4.4,No disponible en streaming,https://image.tmdb.org/t/p/w500/buA8dN4zLNr0dYBeKfHfMnEfdLE.jpg,,
